id,target
1598,1
1606,0
1612,1
1616,0
1620,0
1624,0
1629,1
1630,1
1635,0
1640,1
1641,1
1642,0
1651,1
1655,1
1656,1
1659,0
1664,1
1667,1
1668,0
1674,1
1678,1
1680,0
1681,1
1682,1
1685,1
1695,0
1696,1
1697,0
1704,1
1708,1
1711,0
1713,1
1714,1
1717,1
1729,0
1730,1
1732,0
1734,1
1736,1
1738,1
1742,1
1743,0
1746,1
1748,1
1749,1
1751,1
1758,0
1764,1
1765,0
1777,0
1778,1
1781,1
1782,0
1783,0
1785,0
1788,0
1793,0
1794,1
1795,1
1797,1
1800,1
1801,0
1805,1
1806,0
1819,1
1820,0
1825,1
1828,1
1829,0
1830,1
1839,1
1843,1
1844,0
1846,0
1849,1
1850,0
1854,1
1855,0
1858,0
1859,1
1862,0
1867,1
1868,1
1871,1
1872,1
1874,0
1876,0
1879,0
1884,0
1891,0
1894,1
1896,0
1902,1
1903,0
1904,0
1906,0
1907,0
1912,0
1913,0
1923,0
1926,1
1928,1
1930,0
1931,1
1934,1
1936,1
1944,0
1946,0
1947,0
1958,0
1964,1
1970,1
1974,1
1977,1
1978,0
1982,1
1984,0
1988,1
1993,1
1997,0
1998,1
2002,1
2004,1
2005,1
2008,1
2011,0
2013,0
2018,1
2021,0
2025,1
2029,1
2030,0
2032,0
2037,0
2041,0
2044,1
2048,1
2052,0
2053,0
2054,0
2062,0
2065,0
2066,0
2072,0
2079,0
2080,0
2085,0
2088,1
2090,0
2092,0
2093,1
2101,0
2104,0
2105,1
2106,0
2107,0
2120,1
2124,1
2127,0
2130,1
2132,0
2135,0
2137,0
2140,0
2143,0
2147,0
2151,1
2152,0
2155,0
2156,0
2162,0
2165,0
2166,1
2167,0
2168,1
2170,0
2178,0
2180,0
2182,1
2184,1
2185,0
2187,0
2196,0
2197,0
2199,0
2200,1
2201,0
2202,1
2206,1
2208,0
2218,0
2223,0
2224,0
2226,0
2228,0
2232,0
2234,0
2243,0
2247,0
2249,0
2252,0
2253,1
2259,0
2261,0
2264,0
2268,0
2269,0
2270,0
2276,1
2283,1
2287,1
2290,0
2291,1
2293,1
2295,1
2302,0
2305,0
2310,0
2313,0
2316,1
2320,1
2322,0
2323,1
2326,0
2328,1
2331,1
2335,1
2338,0
2343,0
2344,1
2345,1
2353,1
2355,0
2357,0
2360,1
2365,0
2369,1
2371,1
2378,0
2380,0
2381,0
2383,1
2384,0
2392,0
2393,1
2401,1
2403,0
2404,0
2405,0
2407,0
2411,1
2424,0
2426,0
2431,1
2433,0
2434,1
2436,0
2439,0
2444,0
2447,0
2448,0
2449,0
2450,0
2461,0
2469,0
2472,0
2473,1
2474,0
2477,0
2481,0
2484,1
2495,0
2503,0
2509,0
2511,1
2518,1
2522,1
2525,1
2526,1
2529,1
2533,1
2549,1
2551,1
2558,0
2562,0
2563,0
2567,1
2574,0
2577,0
2578,0
2580,0
2581,0
2583,0
2584,0
2586,0
2589,0
2595,1
2596,0
2600,0
2601,1
2607,0
2610,0
2613,0
2615,0
2618,0
2620,0
2623,0
2626,0
2630,0
2634,0
2636,0
2638,0
2639,0
2646,1
2650,0
2652,1
2653,0
2654,0
2662,0
2665,0
2669,0
2674,1
2678,0
2681,0
2685,1
2686,1
2690,0
2697,0
2699,1
2704,0
2705,0
2710,0
2712,0
2713,0
2716,0
2717,0
2718,0
2721,0
2722,0
2735,0
2737,0
2738,0
2742,0
2745,0
2746,0
2747,0
2750,1
2751,0
2754,1
2762,1
2764,0
2772,0
2775,0
2776,1
2779,1
2781,1
2789,0
2790,0
2791,1
2798,0
2800,0
2804,0
2805,1
2806,1
2809,1
2810,1
2812,0
2814,0
2816,1
2818,0
2823,0
2824,1
2834,1
2837,0
2840,1
2845,0
2847,1
2848,1
2850,1
2859,0
2862,0
2868,0
2874,0
2876,0
2892,0
2894,1
2897,0
2901,0
2903,0
2904,0
2906,0
2914,0
2918,1
2919,0
2923,0
2926,0
2928,0
2930,0
2938,0
2940,0
2949,0
2951,1
2958,1
2961,0
2962,0
2964,0
2966,0
2967,0
2968,0
2972,0
2977,0
2978,0
2979,0
2981,0
2985,0
2986,0
2989,0
2994,1
2996,0
2997,1
2999,0
3002,0
3007,1
3008,0
3017,0
3020,1
3024,0
3028,0
3031,1
3032,0
3033,0
3035,0
3040,0
3041,0
3046,0
3050,1
3063,0
3065,1
3067,0
3069,0
3076,1
3078,0
3081,1
3087,0
3088,0
3094,0
3096,0
3098,0
3103,0
3110,0
3113,0
3121,1
3127,1
3128,1
3129,1
3135,0
3143,0
3146,0
3148,0
3149,0
3151,0
3156,0
3160,1
3164,1
3169,1
3178,0
3187,0
3194,0
3202,0
3203,0
3204,0
3206,0
3207,0
3208,0
3209,1
3213,0
3214,1
3215,0
3220,0
3223,0
3224,0
3226,0
3228,0
3230,0
3232,0
3233,0
3234,0
3238,0
3246,1
3247,1
3250,0
3251,0
3254,0
3257,0
3258,0
3261,0
3267,0
3268,1
3269,0
3271,1
3272,0
3273,0
3279,0
3290,0
3291,1
3293,0
3294,1
3298,0
3305,1
3306,1
3307,0
3310,0
3313,0
3314,0
3315,0
3316,0
3321,1
3325,0
3326,0
3327,0
3330,1
3331,0
3332,0
3333,1
3343,0
3344,0
3348,1
3349,0
3350,0
3352,0
3353,1
3354,0
3358,0
3360,0
3366,0
3371,0
3374,0
3375,0
3378,1
3382,0
3384,0
3385,0
3386,0
3392,0
3399,1
3407,0
3409,0
3416,0
3420,1
3422,0
3424,0
3426,0
3427,0
3434,0
3438,0
3441,0
3442,0
3443,0
3444,1
3449,0
3453,0
3454,0
3456,0
3457,0
3458,0
3461,0
3467,1
3479,0
3488,0
3491,0
3496,0
3502,1
3507,0
3511,1
3515,1
3516,1
3538,1
3539,0
3541,0
3545,0
3546,1
3547,0
3551,1
3553,0
3556,0
3558,0
3559,1
3561,0
3562,0
3563,0
3564,0
3571,1
3574,0
3576,1
3577,0
3579,1
3580,0
3586,1
3590,0
3599,0
3600,0
3601,1
3605,0
3606,0
3612,0
3614,0
3615,0
3616,1
3620,1
3622,0
3624,0
3630,0
3644,0
3649,0
3651,1
3654,0
3665,1
3668,0
3671,1
3672,0
3673,0
3677,0
3678,0
3687,1
3688,1
3693,0
3698,0
3699,0
3701,0
3703,0
3706,0
3707,0
3709,0
3711,1
3714,0
3716,0
3720,0
3728,0
3731,0
3732,1
3733,0
3734,0
3740,0
3746,0
3749,1
3751,1
3755,0
3757,1
3762,1
3767,0
3769,1
3779,1
3781,1
3782,1
3783,1
3784,1
3790,1
3791,1
3792,1
3794,1
3799,0
3801,1
3804,1
3808,1
3809,1
3811,1
3813,1
3817,1
3818,0
3823,0
3843,0
3844,1
3846,1
3847,0
3852,0
3854,1
3856,0
3863,1
3865,0
3867,1
3871,1
3872,1
3878,1
3880,0
3881,1
3882,0
3883,0
3884,1
3885,1
3886,0
3890,1
3891,1
3898,0
3902,0
3909,0
3910,0
3912,0
3915,0
3918,0
3920,0
3925,1
3928,0
3929,1
3930,0
3931,1
3934,1
3939,0
3941,0
3942,0
3943,0
3946,0
3963,0
3965,0
3966,0
3971,1
3972,0
3974,0
3976,0
3978,0
3981,0
3985,0
3986,0
3987,0
3988,0
3991,0
3999,0
4001,1
4002,0
4004,0
4007,0
4009,0
4013,0
4015,0
4016,0
4023,0
4031,0
4035,0
4036,0
4037,0
4040,1
4048,1
4053,1
4056,1
4059,0
4066,0
4067,1
4069,0
4070,0
4071,0
4073,1
4074,0
4075,1
4082,1
4090,1
4099,0
4102,0
4106,0
4109,0
4110,0
4115,0
4118,0
4120,0
4125,0
4126,0
4130,0
4134,0
4136,0
4137,0
4144,0
4148,1
4151,0
4155,0
4162,1
4165,1
4169,0
4174,1
4179,1
4185,1
4186,1
4187,0
4188,1
4190,1
4192,0
4193,0
4194,0
4195,0
4196,0
4207,1
4208,1
4215,1
4217,1
4222,1
4223,1
4226,0
4228,1
4229,0
4231,1
4234,0
4236,0
4249,1
4254,1
4258,1
4259,1
4263,0
4267,1
4277,1
4278,0
4280,0
4283,1
4285,1
4286,1
4287,0
4290,0
4291,1
4294,1
4302,0
4308,0
4310,0
4311,0
4315,1
4316,0
4319,0
4331,0
4338,0
4339,0
4340,1
4344,1
4346,0
4347,0
4360,1
4364,0
4367,1
4369,0
4370,0
4371,0
4380,1
4386,0
4389,0
4390,0
4394,0
4399,0
4400,1
4404,0
4409,0
4414,0
4417,0
4418,1
4419,1
4420,0
4422,0
4429,1
4431,0
4433,0
4434,1
4439,1
4443,0
4446,1
4447,0
4453,0
4460,0
4461,0
4462,1
4467,0
4469,0
4473,0
4474,0
4475,0
4477,0
4481,0
4483,0
4484,0
4485,0
4495,0
4497,0
4500,0
4501,1
4502,1
4505,1
4506,1
4510,1
4512,0
4513,1
4532,0
4535,1
4536,1
4540,0
4545,1
4552,0
4554,1
4555,0
4558,1
4559,0
4560,0
4566,1
4570,0
4572,1
4574,0
4581,1
4583,1
4586,1
4591,1
4594,0
4603,0
4605,1
4612,0
4613,0
4615,0
4618,0
4621,0
4623,0
4626,1
4629,0
4633,0
4636,1
4638,0
4640,1
4643,0
4645,0
4647,1
4648,0
4651,0
4652,0
4653,0
4654,0
4660,0
4662,0
4663,0
4665,0
4668,1
4676,0
4683,0
4685,0
4686,0
4701,1
4718,1
4721,0
4727,1
4728,0
4733,0
4741,0
4743,1
4746,0
4751,0
4756,1
4761,0
4763,0
4764,0
4767,0
4772,0
4776,1
4780,1
4781,0
4792,0
4796,0
4801,0
4804,0
4805,1
4806,0
4811,1
4815,0
4816,1
4817,0
4818,0
4822,0
4824,0
4827,0
4837,0
4838,1
4839,0
4841,0
4851,0
4855,1
4861,1
4862,0
4863,0
4865,0
4871,0
4873,0
4880,0
4885,0
4886,0
4902,0
4904,1
4907,0
4916,0
4921,1
4925,0
4927,0
4928,0
4930,1
4932,1
4933,0
4937,0
4939,1
4941,0
4942,0
4947,0
4949,1
4950,0
4956,0
4960,0
4963,0
4965,0
4976,1
4977,1
4987,0
4991,0
4994,0
4999,0
5003,0
5006,0
5009,0
5011,0
5012,1
5014,0
5020,1
5021,0
5023,0
5026,0
5030,0
5031,1
5036,1
5042,1
5045,1
5048,1
5051,0
5053,0
5054,1
5057,0
5058,1
5066,1
5070,1
5077,0
5081,0
5084,1
5086,0
5090,0
5091,0
5093,1
5100,0
5108,0
5111,0
5112,0
5118,0
5121,0
5123,0
5129,0
5133,0
5143,0
5147,0
5151,0
5156,0
5158,0
5161,0
5163,0
5167,0
5173,0
5205,1
5214,1
5215,0
5216,0
5217,0
5225,0
5237,1
5239,0
5240,1
5241,0
5246,0
5250,0
5253,0
5258,0
5261,0
5268,1
5275,0
5277,0
5279,0
5288,1
5289,1
5294,1
5303,1
5307,1
5311,1
5312,0
5314,0
5318,0
5327,0
5329,0
5333,0
5334,1
5340,1
5348,0
5358,1
5360,0
5361,1
5363,0
5364,0
5369,0
5370,0
5374,0
5376,0
5388,0
5390,1
5393,0
5394,0
5395,0
5398,1
5399,0
5401,0
5402,0
5405,1
5414,0
5415,0
5419,0
5421,0
5422,0
5424,1
5427,0
5429,0
5431,0
5433,0
5434,0
5435,1
5436,0
5438,1
5440,1
5441,1
5447,0
5451,0
5453,1
5456,1
5457,0
5463,0
5464,0
5470,0
5472,0
5474,1
5478,1
5483,0
5490,0
5500,0
5504,0
5508,0
5511,0
5512,1
5513,1
5516,0
5523,1
5527,0
5530,0
5533,0
5536,0
5537,0
5542,0
5543,1
5546,0
5549,0
5550,0
5551,0
5562,1
5566,0
5568,1
5571,1
5572,0
5574,0
5583,1
5585,0
5591,0
5596,0
5597,1
5601,1
5606,1
5607,1
5610,1
5615,0
5616,1
5623,0
5630,0
5636,0
5637,1
5639,0
5640,0
5643,1
5648,1
5649,1
5660,0
5666,0
5667,1
5678,1
5679,0
5681,1
5682,0
5691,0
5696,1
5697,1
5700,0
5701,0
5702,0
5708,0
5709,0
5718,0
5723,1
5725,0
5728,1
5731,1
5735,1
5737,0
5738,1
5742,1
5747,0
5749,0
5750,0
5755,1
5756,0
5761,1
5762,1
5767,1
5768,0
5770,1
5773,0
5774,1
5779,1
5782,0
5785,0
5786,1
5787,0
5788,0
5796,1
5802,0
5806,1
5809,0
5810,0
5811,0
5813,0
5820,1
5823,0
5830,1
5831,0
5838,1
5839,0
5844,0
5846,0
5851,0
5852,0
5857,0
5859,0
5860,0
5862,1
5865,0
5866,0
5871,1
5872,0
5877,1
5878,0
5879,0
5880,0
5895,1
5897,1
5910,1
5914,0
5915,0
5917,0
5924,0
5926,0
5931,0
5936,0
5940,0
5941,0
5945,0
5946,0
5948,0
5951,0
5967,0
5968,0
5969,0
5970,0
5971,0
5973,0
5976,0
5977,0
5984,0
5986,1
5993,0
5994,1
6005,0
6006,0
6008,1
6010,0
6011,0
6014,0
6016,1
6018,0
6021,1
6025,1
6028,0
6029,0
6035,0
6040,0
6042,0
6044,0
6046,0
6052,0
6054,1
6062,0
6063,1
6067,0
6068,0
6077,0
6079,0
6080,1
6081,1
6082,0
6089,0
6095,1
6101,0
6107,1
6114,0
6117,0
6121,1
6122,1
6124,0
6129,0
6131,0
6136,1
6139,0
6142,0
6143,1
6144,1
6149,0
6155,1
6157,1
6158,1
6161,1
6168,0
6172,1
6176,1
6177,0
6179,0
6180,1
6182,0
6186,1
6189,1
6190,1
6194,1
6204,1
6205,1
6209,1
6210,1
6212,0
6214,0
6221,0
6225,0
6228,0
6229,1
6231,0
6235,0
6236,1
6237,1
6238,1
6239,1
6242,1
6249,1
6250,1
6251,1
6252,1
6260,1
6264,0
6266,1
6270,1
6275,1
6279,1
6280,1
6284,1
6285,0
6286,0
6287,1
6288,1
6289,1
6290,0
6291,1
6295,1
6298,1
6307,1
6308,1
6309,0
6313,1
6316,0
6319,0
6321,1
6324,0
6327,0
6333,1
6351,1
6352,1
6353,0
6357,1
6359,0
6360,1
6364,1
6367,1
6368,0
6377,1
6378,1
6379,0
6381,0
6390,1
6401,1
6408,1
6409,1
6411,0
6419,1
6424,0
6426,0
6428,0
6431,0
6432,1
6433,0
6435,1
6437,0
6439,0
6442,0
6444,0
6447,0
6456,0
6457,0
6460,0
6468,0
6471,0
6475,0
6476,0
6479,0
6483,1
6487,1
6488,0
6489,0
6496,0
6498,0
6502,0
6503,0
6507,0
6508,1
6509,1
6517,0
6521,0
6522,0
6524,0
6526,1
6531,0
6533,0
6538,1
6539,0
6544,0
6557,0
6558,0
6562,0
6563,0
6564,0
6574,0
6578,0
6581,1
6584,0
6587,1
6589,0
6590,0
6592,0
6595,0
6599,0
6600,1
6606,1
6609,1
6612,1
6615,1
6618,0
6620,0
6623,1
6633,1
6639,0
6640,1
6641,0
6645,0
6650,0
6651,0
6652,0
6657,0
6659,0
6666,1
6671,0
6673,1
6674,0
6677,0
6680,1
6684,1
6685,1
6691,1
6692,1
6696,0
6698,1
6704,1
6705,0
6710,0
6713,1
6715,1
6717,0
6718,0
6720,0
6728,1
6732,0
6733,1
6739,0
6740,1
6741,0
6743,0
6747,0
6750,1
6752,0
6753,0
6755,1
6761,0
6763,0
6768,0
6770,0
6771,0
6777,0
6778,0
6780,0
6782,1
6786,1
6791,0
6797,0
6798,0
6803,0
6805,1
6812,1
6816,1
6818,1
6822,1
6825,1
6826,1
6827,1
6829,1
6831,1
6836,0
6838,0
6840,0
6842,1
6846,1
6851,1
6853,0
6856,0
6859,0
6865,1
6866,0
6868,0
6869,1
6871,0
6873,0
6886,0
6887,0
6888,0
6889,0
6891,1
6894,1
6895,0
6899,1
6901,0
6902,0
6904,0
6906,1
6922,1
6923,1
6924,0
6927,0
6934,0
6938,0
6941,1
6942,1
6944,0
6947,1
6952,0
6957,0
6958,1
6964,0
6968,1
6969,1
6976,1
6982,1
6986,0
6987,1
6989,0
6991,0
6993,1
6995,0
6997,0
7000,0
7003,0
7004,1
7007,0
7011,0
7014,0
7016,0
7017,0
7020,0
7022,0
7028,0
7033,0
7034,1
7035,0
7038,0
7040,0
7041,0
7042,0
7045,1
7049,1
7055,0
7057,0
7062,1
7064,1
7066,1
7067,1
7072,1
7079,0
7082,0
7083,0
7084,1
7085,0
7087,1
7090,1
7094,0
7096,1
7099,1
7100,0
7101,0
7102,0
7103,0
7107,0
7110,0
7113,0
7117,0
7119,0
7123,0
7127,1
7133,0
7139,0
7143,0
7145,0
7151,0
7152,0
7153,0
7156,1
7162,1
7170,0
7172,0
7177,0
7181,0
7182,0
7189,0
7190,0
7200,0
7207,1
7209,1
7212,0
7216,0
7217,0
7219,0
7220,0
7222,0
7225,0
7233,0
7237,1
7238,0
7239,1
7240,1
7243,1
7245,0
7246,0
7249,0
7257,0
7258,0
7259,0
7262,0
7263,0
7269,1
7271,0
7273,0
7276,1
7279,0
7282,0
7284,0
7293,0
7298,0
7303,0
7304,1
7305,1
7308,0
7313,0
7314,0
7321,0
7322,1
7327,0
7333,1
7336,0
7339,0
7341,0
7346,0
7347,0
7349,0
7351,1
7353,0
7363,1
7364,0
7368,0
7370,0
7375,0
7376,1
7379,0
7382,0
7384,1
7385,0
7387,0
7388,1
7389,0
7394,0
7396,0
7398,1
7399,1
7401,1
7404,0
7406,1
7409,0
7411,0
7417,1
7420,1
7422,0
7423,0
7427,0
7429,0
7432,0
7435,0
7436,1
7440,1
7441,0
7445,1
7448,1
7449,1
7450,1
7454,0
7455,0
7460,0
7462,1
7464,0
7466,1
7468,1
7469,1
7471,1
7472,1
7483,1
7484,1
7485,1
7486,0
7487,0
7489,1
7492,0
7495,1
7499,1
7500,1
7506,0
7508,0
7509,0
7511,0
7516,1
7524,0
7538,1
7539,1
7541,0
7546,0
7549,1
7562,1
7564,0
7567,0
7572,1
7574,1
7575,1
7586,1
7592,0
7596,1
7597,0
7599,0
7606,0
7615,0
7618,0
7620,0
7624,1
7625,1
7629,0
7632,0
7636,0
7637,1
7646,0
7655,0
7658,0
7660,1
7664,0
7665,1
7666,1
7667,1
7673,0
7676,0
7682,1
7684,1
7690,0
7697,1
7700,0
7704,0
7705,1
7706,1
7708,1
7709,1
7710,0
7713,0
7716,1
7726,1
7729,1
7730,0
7732,1
7734,0
7740,1
7741,0
7745,0
7757,1
7762,0
7770,0
7776,0
7777,1
7778,0
7779,0
7782,0
7786,1
7791,0
7792,1
7794,1
7795,1
7796,0
7798,1
7805,1
7806,1
7808,1
7811,0
7814,1
7819,1
7820,1
7825,1
7829,1
7834,0
7836,1
7838,0
7841,1
7845,0
7846,1
7853,1
7856,1
7858,1
7859,1
7866,0
7875,1
7879,1
7884,0
7886,1
7890,0
7892,1
7896,0
7899,0
7900,0
7901,1
7904,0
7911,1
7917,1
7919,0
7920,1
7921,1
7922,0
7925,1
7927,1
7928,1
7931,0
7942,0
7946,1
7947,1
7948,1
7951,0
7956,0
7961,1
7964,1
7966,1
7967,0
7974,1
7975,0
7979,1
7985,0
7986,1
7993,1
7995,1
7997,0
7998,1
8004,1
8007,1
8011,0
8014,0
8022,1
8027,0
8033,0
8041,1
8042,0
8046,0
8048,1
8050,0
8051,0
8052,1
8053,0
8054,1
8059,0
8063,0
8072,1
8075,1
8076,0
8077,1
8078,1
8080,0
8082,0
8086,1
8090,0
8092,0
8093,0
8099,0
8104,1
8107,1
8108,1
8114,1
8115,1
8117,0
8123,1
8124,1
8127,0
8132,1
8134,1
8139,0
8145,1
8148,1
8151,1
8152,1
8153,0
8157,0
8160,1
8166,1
8167,1
8173,0
8174,1
8178,1
8179,1
8185,0
8186,1
8192,0
8193,1
8194,1
8197,0
8198,0
8199,0
8200,0
8206,1
8207,1
8220,0
8222,0
8227,1
8228,1
8229,1
8230,1
8233,1
8248,0
8249,0
8255,0
8260,0
8263,0
8265,1
8268,1
8269,1
8272,0
8273,1
8275,0
8277,0
8281,0
8282,1
8290,0
8293,1
8299,1
8302,0
8303,0
8305,0
8306,1
8307,0
8308,0
8313,0
8316,0
8319,0
8322,0
8323,0
8325,0
8326,0
8327,0
8328,0
8331,0
8333,0
8336,0
8338,0
8340,0
8342,1
8343,1
8353,1
8354,0
8357,0
8358,1
8359,1
8373,0
8376,0
8379,0
8380,1
8381,0
8384,0
8395,1
8398,1
8403,0
8407,1
8413,1
8417,1
8420,1
8421,1
8424,1
8426,1
8427,1
8438,1
8439,0
8442,0
8449,1
8456,0
8460,0
8462,0
8465,0
8466,0
8467,1
8469,0
8470,1
8474,0
8479,0
8481,0
8482,0
8485,0
8488,0
8492,0
8493,0
8495,0
8499,0
8501,0
8519,0
8521,1
8525,0
8527,0
8529,0
8532,1
8534,0
8535,0
8537,0
8544,0
8548,0
8549,0
8552,0
8554,0
8563,0
8564,0
8565,0
8566,1
8568,0
8569,0
8573,0
8583,0
8588,0
8590,0
8592,1
8593,0
8594,1
8597,1
8600,0
8601,0
8602,1
8603,1
8604,1
8605,0
8611,1
8614,1
8616,0
8617,0
8619,0
8626,0
8629,1
8630,0
8632,0
8634,0
8641,0
8645,0
8649,0
8652,0
8666,0
8671,1
8672,0
8675,1
8678,0
8679,0
8682,0
8687,0
8701,1
8703,1
8707,0
8713,1
8716,0
8719,1
8725,0
8730,1
8731,0
8748,0
8749,0
8756,0
8764,0
8765,0
8769,0
8771,0
8772,0
8773,0
8779,0
8792,1
8794,0
8796,0
8798,0
8803,0
8807,1
8809,1
8811,0
8813,0
8814,0
8818,1
8819,0
8820,0
8821,0
8822,0
8824,0
8826,0
8827,0
8828,0
8833,0
8834,0
8845,0
8847,0
8849,0
8861,0
8867,0
8868,0
8870,0
8873,0
8874,1
8876,0
8877,0
8879,0
8882,1
8884,0
8889,0
8891,0
8894,0
8895,0
8897,0
8898,1
8901,0
8904,0
8909,0
8910,1
8911,0
8915,0
8917,1
8918,0
8919,0
8922,1
8925,1
8928,0
8929,1
8930,1
8932,0
8937,1
8940,0
8943,1
8950,1
8951,0
8954,1
8958,0
8960,0
8964,1
8975,1
8977,1
8981,0
8982,0
8984,1
8988,1
8990,0
8991,0
8995,0
8997,0
9003,0
9004,1
9010,1
9011,0
9013,0
9014,1
9015,0
9017,0
9019,1
9021,0
9024,0
9032,0
9035,1
9036,1
9037,0
9043,0
9046,0
9048,0
9049,0
9050,0
9056,0
9063,0
9065,0
9066,0
9068,0
9069,0
9070,0
9073,0
9076,0
9091,0
9092,1
9104,1
9105,1
9108,1
9111,1
9115,1
9117,1
9122,1
9125,0
9127,1
9129,1
9133,1
9136,1
9138,1
9140,0
9147,1
9150,1
9152,1
9153,1
9155,1
9158,0
9160,0
9163,1
9165,1
9167,1
9168,1
9170,1
9176,1
9178,1
9184,1
9186,0
9188,1
9189,0
9190,1
9196,1
9198,1
9199,0
9200,1
9201,0
9202,1
9204,1
9205,0
9213,0
9214,1
9224,1
9227,0
9228,1
9229,0
9234,1
9236,0
9241,1
9243,0
9245,0
9256,0
9258,1
9261,1
9274,0
9279,1
9282,0
9284,1
9285,1
9291,0
9295,1
9299,0
9302,0
9304,0
9305,1
9306,1
9310,0
9312,1
9316,0
9318,0
9323,0
9326,0
9327,0
9328,0
9331,0
9335,0
9336,0
9340,0
9349,1
9352,1
9353,0
9354,0
9356,0
9357,0
9358,0
9359,1
9364,0
9366,0
9369,0
9370,0
9379,1
9381,1
9383,0
9389,1
9390,1
9392,1
9394,1
9398,0
9399,1
9400,0
9407,0
9409,0
9412,1
9413,0
9415,1
9419,0
9423,0
9424,0
9426,1
9427,1
9428,0
9429,1
9433,1
9437,0
9440,1
9442,1
9443,0
9444,1
9447,1
9459,0
9461,1
9462,0
9464,1
9473,0
9475,0
9476,1
